8,Cascade Investment Advisors Inc. ,0001681490
9,RMR Wealth Builders ,0001803848
10,INTERWEST VENTURE MANAGEMENT CO ,0001697720
11,Social Capital Group LLC ,0001964312
12,WEATHERLY ASSET MANAGEMENT L. P. ,0000934745
13,Mass General Brigham Inc ,0001678378
14,Byrne Asset Management LLC ,0001911322
15,Arboretum Ventures LLC ,0001965092
16,CISCO SYSTEMS INC. ,0000858877
17,IFG Advisory LLC ,0001728319
18,CPR Investments Inc. ,0001775053
19,Crumly & Associates Inc. ,0001759578
20,Hills Bank & Trust Co ,0001309148
21,PRESILIUM PRIVATE WEALTH LLC ,0001939831
22,MILLER HOWARD INVESTMENTS INC /NY ,0000903947
23,Friedenthal Financial ,0001598611
24,MainStreet Investment Advisors LLC ,0001729854
25,John W. Brooker & Co. CPAs ,0001798926
26,FirstPurpose Wealth LLC ,0001913420
27,Stordahl Capital Management Inc. ,0001729093
28,Bernardo Wealth Planning LLC ,0001765595
29,Hedeker Wealth LLC ,0001633910
30,Purus Wealth Management LLC ,0001844250
31,Compass Wealth Management LLC ,0001965653
32,Summit Financial Strategies Inc. ,0001625246
33,Standpoint Asset Management LLC ,0001780423
34,BEACON INVESTMENT ADVISORY SERVICES INC. ,0001654599
35,EAGLE GLOBAL ADVISORS LLC ,0001130787
36,ASSET PLANNING SERVICES INC /LA/ /ADV ,0000811407
37,WEALTH ENHANCEMENT ADVISORY SERVICES LLC ,0001632972
38,NorthCrest Asset Manangement LLC ,0001893159
39,Capital Wealth Alliance LLC ,0001803277
40,River Street Advisors LLC ,0001964897
41,Creative Planning ,0001540235
42,PERKINS CAPITAL MANAGEMENT INC ,0000884300
43,Goldstein Advisors LLC ,0001963807
44,Summit Rock Advisors LP ,0001540951
45,Pflug Koory LLC ,0001740063
46,DIAMANT ASSET MANAGEMENT INC. ,0001731124
47,Hobart Private Capital LLC ,0001767062
48,Beaton Management Co. Inc. ,0001714678
49,Richwood Investment Advisors LLC ,0001911900
50,SL ADVISORS LLC ,0001680365
51,New Potomac Partners LLC ,0001731466
52,Keeler THomas Management LLC ,0001730660
53,Joseph P. Lucia & Associates LLC ,0001775391
54,Riggs Asset Managment Co. Inc. ,0001601348
55,CP Capital Advisory Group LLC d.b.a. Prosperity Capital Advisors ,0001965756
56,FARMERS TRUST CO ,0001318055
57,Stiles Financial Services Inc ,0001904832
58,Sterling Manor Financial LLC ,0001842015
59,Private Ocean LLC ,0001601742
60,Montz Harcus Wealth Management LLC ,0001918613
61,First Fiduciary Investment Counsel Inc. ,0001072843
62,Insight Folios Inc ,0001792942
63,O'Shares Investment Advisers LLC ,0001672775
64,First Command Bank ,0001693750
65,Ackerman Capital Advisors LLC ,0001699506
